Predictions_Fold_0,Predictions_Fold_1,Predictions_Fold_2,Predictions_Fold_3,Predictions_Fold_4,Tokens_Fold_0,Tokens_Fold_1,Tokens_Fold_2,Tokens_Fold_3,Tokens_Fold_4
0.0,0.0,0.0,0.0,1.0,"['Work', 'Callback', 'delete', 'initialState', 'periodStartTime']","['lookup', 'empty', 'context', 'permission', 'test']","['final', 'Reference', 'bind', 'lookup', 'assertTrue']","['validate', 'Assertions', 'List', 'contextValues', 'size']","['mock', 'timeout', 'delay', 'verify', 'sendMessage']"
0.0,0.0,6.0,0.0,0.0,"['activity', 'reset', 'assertNull', 'supportInvalidateOptionsMenu', 'callActivityOnDestroy']","['Tasks', 'waitFor', 'PreviewStatus', 'COMPLETED', '5']",[],"['await', 'until', 'get', 'size', 'equalTo']","['ByteArray', 'InputStream', 'readBytes', 'IOException', 'is']"
1.0,6.0,0.0,6.0,0.0,"['startComputation', 'tcpDiscovery', 'startListening', 'Thread', 'interrupt']","['NUM_THREADS', 'shardIndexingPressure', 'shardId1', 'OpenSearchRejectedExecutionException', 'OperationType.REPLICA', '1000']","['System', 'setProperty', 'InitialContext', 'lookup', 'assertTrue']","['synchronized', 'wait', 'notify', 'Thread', 'sleep']","['SequenceListener', 'sentenceRead', 'assertNull', 'assertEquals', 'received']"
6.0,0.0,4.0,0.0,4.0,"['Thread', 'sleep', '1000', ';', 'wait']","['findMethod', 'allAnnotations', 'annotations', 'size', 'type']","['System', 'setProperty', 'InitialContext', 'assertTrue', 'NamingContext']","['DateTime', 'now', 'UTC', 'indexCreationDate', 'isEqualToIgnoringMillis']","['blockSize', 'stripeLength', 'Thread', 'sleep', '1000']"
0.0,0.0,0.0,0.0,0.0,"['MockClusterResourceManager', 'spy', 'spyContainerManager', 'Thread', 'verify']","['bind', 'lookup', 'reference', 'nns', 'factory']","['ClockMock', 'tokenService', 'authentication', 'ThreadContext', 'future']","['System', 'currentTimeMillis', 'offset', 'workSpec', 'convert']","['Connection', 'Statement', 'executeUpdate', 'CountDownLatch', 'AtomicReference']"
0.0,4.0,0.0,0.0,0.0,"['test', 'dirString', 'PathData', 'conf', 'sortedString']","['iterator', 'next', 'hasNext', 'put', 'entries']","['final', 'pushOwner', 'popOwner', 'bind', 'lookup']","['expectedMillis', 'minimum', 'maximum', 'duration', 'getDurationMillis']","['Async', 'await', 'Thread', 'sleep', '1000']"
0.0,0.0,0.0,0.0,4.0,"['Async', 'wait', 'Thread', 'sleep', 'timeout']","['clientTransport', 'start', 'oneway', 'TransportListener', 'Thread.sleep']","['JsonSchema', 'json', 'toString', 'replaceAll', 'assertEquals']","['Async', 'await', 'Thread', 'sleep', 'synchronized']","['NUM_MASTERS', 'NUM_RS', 'NUM_REGIONS_TO_CREATE', 'expectedNumRS', 'blockUntilNoRIT']"
0.0,4.0,0.0,6.0,0.0,"['server', 'enqueue', 'await', 'callback', 'assertBody']","['HRegion', 'HRegionServer', 'ZKAssign', 'RS_ZK_REGION_SPLIT', 'RS_ZK_REGION_SPLITTING']","['final', 'Reference', 'bind', 'lookup', 'assertEquals']","['transactionMetaStoreCount', 'PulsarService', 'crashedMetaStore', 'services', 'Thread.sleep']","['offset', 'response', 'endpoint', 'modify', 'Instant']"
0.0,1.0,6.0,4.0,4.0,"['M2_PROJ_GRP_NAME', 'getProperty', 'buildProjectForQueuePageTest', 'clickAndWait', 'assertPage']","['setupTest', 'save', 'update', 'CountDownLatch', 'Thread']","['Thread', 'sleep', '2000', ';', 'join']","['bind', 'link', 'lookup', 'rebind', 'permission']","['CheckoutMojo', 'lookupMojo', 'execute', 'fail', 'MojoExecutionException']"
6.0,0.0,0.0,0.0,0.0,"['await', 'async', 'Thread', 'sleep', 'synchronized']","['Thread', 'sleep', '1000', ';', 'wait']","['Future', 'assertFutureSuccess', 'Thread', 'sleep', 'assertFutureSuccess']","['await', 'async', 'Thread', 'sleep', 'wait']","['test', 'boolean', 'enum', 'iterations', 'assert']"
0.0,0.0,0.0,0.0,0.0,"['mock', 'hasNext', 'next', 'thenReturn', 'NoSuchElementException']","['Thread', 'sleep', 'await', 'synchronized', 'queue']","['testCount', 'flushInterval', 'compactInterval', 'flushThread', 'putThread']","['Future', 'get', 'lease', 'release', 'mock']","['Table', 'RowMutation', 'forceBlockingFlush', 'ColumnFamily', 'delete']"
4.0,6.0,0.0,0.0,0.0,"['graph', 'toString', 'getConnectedComponents', 'assertEquals', 'size']","['token1', 'token2', 'token3', 'token4', 'token5']","['settings', 'EnumMapping', 'generateTypeScript', 'Input', 'Direction']","['disableProfile', 'putProfile', 'deploy', 'startProgram', 'waitState']","['System', 'currentTimeMillis', 'persistFileInternal', 'Assert', 'lastModificationTimeMs']"
6.0,0.0,6.0,0.0,0.0,"['resetCache', 'Builder', 'Protocol', 'start', 'addr']","['CompletableFuture', 'delayFuture', 'brokerService', 'getOrCreateTopic', 'CommandError']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['try', 'catch', 'fail', 'expected', 'NameNotFoundException']","['create', 'DefaultDirectoryManager', 'DirectoryManagerFactory', 'assertTrue', 'instanceof']"
0.0,0.0,4.0,6.0,4.0,"['JBI', 'Quartz', 'Thread', 'sleep', 'start']","['send', 'receive', 'unackMessage', 'ackMessage', 'acknowledge']","['Map', 'List', 'newAssignMap', 'preAssignMap', 'CubeAssignment']","['Thread', 'sleep', 'notify', 'subscribe', 'parse']","['ModelNode', 'compositeOp', 'addr', 'composite', 'Operations']"
0.0,4.0,4.0,6.0,0.0,"['UserGroupInformation', 'proxyUgi', 'PrivilegedExceptionAction', 'DelegationTokenIdentifier', 'DataInputStream']","['insert', 'update', 'replace', 'delete', 'stream']","['ModificationTime', 'create', 'rename', 'delete', 'order']","['Thread', 'sleep', '500', 'notify', 'subscribe']","['clickThru', 'SUBMIT', 'type', 'clickAndWait', 'assertTextPresent']"
0.0,0.0,4.0,0.0,0.0,"['Bundle', 'sleep', 'response', 'IOException', 'assertNotNull']","['Session', 'QueryManager', 'Node', 'xpath', 'RowIterator']","['Timestamp', 'update', 'Version', 'persist', 'refresh']","['DistanceMeasure', 'EuclideanDistanceMeasure', 'run', 'solver', 'sampleData']","['fireOneLevelEvent', 'await', 'EventCoordinator', 'Listener', 'fireEvent', 'CompositeName']"
0.0,0.0,0.0,4.0,0.0,"['dirString', 'testDir', 'item', 'PathData', 'conf']","['await', 'until', 'greaterThan', 'service', 'create']","['Thread', 'incrementAndGet', 'set', 'await', 'processNextBatch']","['mkdirs', 'CheckoutMojo', 'lookupMojo', 'execute', 'exists']","['bind', 'lookup', 'reference', 'namingStore', 'CompositeName']"
0.0,4.0,6.0,4.0,1.0,"['UUID', 'SampleLink', 'sampleSummaryId', 'sampleLinks', 'surveyId']","['types', 'Class', 'invoke', 'Class.forName', 'randomSample']","['OneTimeWorkRequest', 'WorkerWrapper', 'Executors', 'FutureListener', 'interrupt', 'Thread.sleep']","['dirString', 'PathData', 'checkPathData', 'conf', 'item']","['bind', 'lookup', 'store', 'concurrent', 'name']"
0.0,0.0,4.0,6.0,6.0,"['serverStatus', 'throttle', 'journal', 'flushDirtyLogs', 'cleanupLogs']","['outputPath', 'runtimeArgs', 'workflowId', 'programClient', 'workflowRuns']","['Person', 'Json', 'toJson', 'compact', 'quoteName']",[],"['Thread', 'sleep', '2000', ';', 'wait']"
6.0,6.0,6.0,0.0,4.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['AtomicBoolean', 'MockVolt', 'start', 'shutdown', 'handler']","['await', 'Thread', 'lock', 'synchronized', 'condition']","['PipelineOptions', 'ApiServiceDescriptor', 'ServerStreamObserverFactory', 'GrpcContextHeaderAccessorProvider', 'ServerFactory']","['bindingName', 'lookup', 'context', 'CompositeName', 'store']"
0.0,1.0,6.0,6.0,0.0,"['System', 'currentTimeMillis', 'when', 'thenReturn', 'offset']","['Thread', 'scan', 'flush', 'compact', 'timestamp']","['<token1>', '<token2>', '<token3>', '<token4>', '<token5>']","['<token1>', '<token2>', '<token3>', '<token4>', '<token5>']","['upload', 'listener', 'verify', 'completion', 'transfer']"
6.0,0.0,2.0,0.0,0.0,"['subscribe', 'request', 'response', 'timeout', 'join']","['DateTime', 'UTC', 'DateTimeZone', 'LocalDateTime', 'Assert']","['clock', 'DateTime', 'LocalDate', 'newLocalDate', 'newLocalTime']","['test', 'telnet', 'result', '20887', 'RemotingException']","['testCwdContents', 'Path.CUR_DIR', 'PathData', 'getDirectoryContents', 'assertEquals']"
4.0,6.0,6.0,0.0,1.0,"['for', 'RaftMessages', 'Type', 'values', 'metric']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['waitForStatus', 'start', 'stop', 'setInstances', 'deployApplication']","['final', 'ServiceName', 'bindObject', 'lookup', 'assertNotNull']","['pool', 'lease', 'release', 'MaxTotal', 'MaxPerRoute']"
6.0,0.0,0.0,0.0,6.0,"['persistEphemeralSequential', 'start', 'blockUntilConnected', 'getChildren', 'close', 'init']","['Thread', 'sleep', 'enqueue', 'verify', 'shutdown']","['final', 'Reference', 'InitialContext', 'lookup', 'assertTrue']","['Mono', 'compose', 'expectNext', 'expectComplete', 'verify']","['maxReceiveCountAfterClose', 'KafkaChannel', 'selector', 'server', 'receiveCount']"
6.0,0.0,0.0,0.0,6.0,"['final', 'Thread', 'sleep', '200', ';']","['Thread', 'CountDownLatch', 'Metrics', 'LongAdder', 'join']","['Thread', 'logDir', 'logFile', 'ZKUtil', 'waitForCounter']","['mock', 'PortletMode', 'ActionResponse', 'initParams', 'requestParams']","['<token1>', '<token2>', '<token3>', '<token4>', '<token5>']"
0.0,6.0,0.0,0.0,0.0,"['test', 'QualifiedUriContents', 'makeQualified', 'PathData', 'getDirectoryContents']","['token1', 'token2', 'token3', 'token4', 'token5']","['BUILD_AGENT_NAME', 'BUILD_AGENT_DESCRIPTION', 'enableDistributedBuilds', 'goToAddBuildAgent', 'addBuildAgent', 'assertTextPresent']","['mock', 'stubs', 'proxy', 'init', 'render']","['challengeId', 'participantId', 's3destination', 'srcsForTestChallenge', 'languageEvent', 'coverageRound1']"
0.0,6.0,6.0,0.0,0.0,"['Field', 'DatabaseFieldConfig', 'config', 'databaseType', 'Foo']","['ignite', 'startGrid', 'stopGrid', 'awaitPartitionMapExchange', 'assertNotNull']","['Thread', 'sleep', '500', ';', 'notify']","['execute', 'thread', 'alive', 'sleep', 'ran']","['serverStatus', 'running', 'segmentSize', 'KafkaJournal', 'THROTTLED']"
0.0,0.0,0.0,6.0,0.0,"['workflow', 'message', 'send', 'deploy', 'verify']","['Async', 'wait', 'Thread', 'sleep', 'timeout']","['n', 'rate', 'duration', 'IdentityFn', 'runWithRate']","['await', 'startTheLeaderSwitching', 'BoltServerAddress', 'seenAddresses', 'success']","['mock', 'proxy', 'mockResponse', 'PortletMode', 'initParams']"
4.0,4.0,0.0,0.0,4.0,"['assertGetLocalFailoverItemsIfShutdown', 'failoverService', 'getLocalFailoverItems', 'Collections', 'emptyList']","['NMEAMessage', 'fragmentedNMEAMessage1', 'fragmentedNMEAMessage2', 'AISMessageType', 'ShipAndVoyageRelatedData']","['PullPoint', 'subscribe', 'notify', 'Thread', 'sleep']","['JSONObject', 'Character', 'Number', 'ByteArrayOutputStream', 'ObjectOutputStream']","['DubboResponse', 'JSONObject', 'JSON', 'JSONArray', 'assertEquals']"
1.0,6.0,0.0,4.0,0.0,"['addBrokerToZk', 'getDiscoveryProvider', 'nextBroker', 'getPulsarServiceUrl', 'assertNotEquals']","['await', 'async', 'Thread', 'sleep', '1000']","['test', 'change', 'telnet', 'mockChannel', 'RemotingException']","['createNewCluster', 'scaleClusterWithRestApi', 'checkEvent', 'getEventCount', 'assertEquals']","['waitForBuild', 'waitForReconciler', 'waitForDisplay', 'waitForBuild', 'checkConsistenceOfGrammar']"
4.0,0.0,0.0,0.0,0.0,"['randSeed', 'Producer', 'topic', 'send', 'assert']","['SubscribeRate', 'Awaitility', 'Thread', 'sleep', 'updateServiceUrl']","['create', 'DirectoryManager', 'IOException', 'nonexisting-directory', 'true']","['reset', 'connectToServer', 'message', 'close', 'getReason']","['insert', 'static', 'execute', 'prepare', 'assert']"
0.0,0.0,1.0,0.0,4.0,"['assert', 'getInstance', 'getCurrentShardingTotalCount', 'is', 'null']","['Future', 'connect', 'actionGet', 'assertNoRunningConnections', 'nodeConnected']","['Thread', 'aq', 'OpType', 'start', 'stop']","['Awaitility', 'untilAsserted', 'MessageProducer', 'pulsar2', 'remoteCluster']","['assertEquals', 'SecurityUtil', 'buildDTServiceName', 'URI.create', '123']"
6.0,0.0,4.0,4.0,4.0,"['token1', 'token2', 'token3', 'token4', 'token5']","['List', 'BigDecimal', 'Map', 'afterPropertiesSet', 'read']","['mkdirs', 'listFiles', 'CheckoutMojo', 'execute', 'length']","['assertEquals', 'Json.toJson', 'JsonFormat.full', 'ignoreJsonShape', 'K.K']","['when', 'thenReturn', 'new', 'get', 'assertEquals']"
0.0,6.0,0.0,6.0,0.0,"['ManualClock', 'advance', 'clock.instant', 'getEpochSecond', 'Duration.ofHours']","['Thread', 'sleep', 'resetConfig', 'setInactiveTopicPolicies', 'getInactiveTopicPolicies']","['final', 'bind', 'rebind', 'lookup', 'permission']","['Thread', 'sleep', '500', ';', 'notify']","['LOG', 'HttpURLConnection', 'URLConnection', 'createRemoteUser', 'setLevel']"
6.0,0.0,0.0,0.0,0.0,"['<token1>', '<token2>', '<token3>', '<token4>', '<token5>']","['sampler', 'update', 'mock', 'parameters', 'verify']","['Async', 'wait', 'Thread', 'sleep', 'list']","['executorService', 'executionFuture', 'killerFuture', 'startTime', 'ONE_SECOND']","['APIContext', 'UserData', 'HashMap', 'List', 'Event']"
0.0,0.0,1.0,0.0,2.0,"['LineageWriter', 'AccessType', 'ProgramRunId', 'Tasks', 'waitFor']","['tempConnection', 'tempSession', 'queue', 'session', 'producer']","['numChokes', 'randChokeIndex', 'DirectDriver', 'SynthSourceRndSize', 'testTime']","['try', 'catch', 'expected', 'lookup', 'fail']","['Thread', 'sleep', '2000', ';', 'addRuntimeStat']"
0.0,0.0,6.0,0.0,1.0,"['bindList', 'checkListResults', 'testActionPermission', 'NamingEnumeration', 'JndiPermission']","['Async', 'wait', 'bind', 'lookup', 'permission']","['Async', 'wait', 'sleep', 'assert', 'listener']","['async', 'await', 'Thread', 'sleep', 'wait']","['coordinator', 'Listener', 'EventContext', 'fireEvent', 'await']"
4.0,0.0,6.0,6.0,3.0,"['BlockMaster', 'blockId', 'delete', 'restart', 'fail']","['final', 'ServiceName', 'bindObject', 'lookup', 'assertNotNull']","['Thread', 'start', 'sleep', '1000', 'isWorking']","['token1', 'token2', 'token3', 'token4', 'token5']","['list', 'set', 'singletonList', 'Collections', 'artifact']"
0.0,0.0,4.0,0.0,4.0,"['Thread', 'sleep', '10', 'SecurityException', 'authenticate']","['wait', 'cancel', 'task', 'run', 'delete']","['Configuration', 'FileSystem', 'BlockManager', 'ExtendedBlock', 'DatanodeDescriptor']","['Thread', 'sleep', 'flush', 'pressure', 'throughput']","['iterator', 'next', 'hasNext', 'put', 'entries']"
5.0,2.0,4.0,1.0,1.0,"['Avro', 'schema', 'null', 'assert', 'field']","['Long', 'TimeUnit', 'assertTrue', 'getWindowBoundsInMillis', 'compareTo']","['request', 'serialize', 'assertEquals', 'operation', 'infoField1']","['Producer', 'Consumer', 'Thread', 'sleep', 'Acknowledge']","['Thread', 'executor', 'authenticate', 'tokenPoller', 'redirectHandler']"
4.0,4.0,0.0,4.0,6.0,"['ToBreakRunner', 'TruthTable', 'ModelAnalyser', 'ExpressionListenerStore', 'ExpressionCreator']","['assertTrue', 'assertEquals', 'create', 'split1', 'split2']","['MILLISECONDS', 'sleep', 'waitForQueryState', 'createQuery', 'RUNNING']","['name', 'value', 'newValue', 'pushOwner', 'popOwner']","['shutdown', 'database', 'index', 'population', 'test']"
6.0,0.0,0.0,6.0,0.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['resetFileSystem', 'Configuration', 'IOException', 'assert', 'get']","['request', 'convert', 'build', 'task', 'serviceName']","['broker', 'start', 'createConnectionFactory', 'createDurableSubscriber', 'receive']","['callback', 'clear', 'execute', 'Realm', 'transaction']"
0.0,6.0,4.0,6.0,0.0,"['Thread', 'sleep', 'start', 'stop', 'time']","['await', 'async', 'Thread', 'sleep', '1000']","['Tomcat', 'WebSocket', 'Subprotocol', 'Negotiated', 'Session']","['<token1>', '<token2>', '<token3>', '<token4>', '<token5>']","['Thread', 'sleep', 'ContinuousScheduling', 'enabled', 'ResourceRequest']"
0.0,6.0,0.0,0.0,4.0,"['AtomicInteger', 'Error', 'scheduleRecurring', 'incrementAndGet', 'cancelAndWaitTermination']","['await', 'fireEvent', 'fireAllEvent', 'EventCoordinator', 'Listener']","['shutdownListenerManager', 'InstanceShutdownStatusJobListener', 'dataChanged', 'schedulerFacade', 'verify']","['HashMap', 'format', 'UTF8', 'params', 'assertTrue']","['start', 'join', 'Thread', 'start', 'join']"
0.0,0.0,0.0,0.0,6.0,"['ParserConfig', 'config', 'parseObject', 'deserialze', 'singletonMap']","['CompletableFuture', 'join', 'sync', 'errorCallback', 'log']","['Collection', 'await', 'CountDownLatch', 'notification', 'repairTask']","['accept', 'ArgumentCaptor', 'Expectations', 'NMEAMessage', 'AISMessageType']","['service', 'suspend', 'resume', 'Thread', 'sleep']"
0.0,0.0,4.0,2.0,0.0,"['shutdown', 'sink', 'verify', 'sink', 'sink']","['RPCTask', 'createRPCStatus', 'shutdown', 'getTasks', 'assertEquals']","['stopBroker', 'startBroker', 'producer', 'consumer', 'checksum']","['System', 'currentTimeMillis', 'Thread', 'sleep', 'elapsedTime']","['consumerId', 'rebalanceListener', 'client', 'coordinator', 'time']"
4.0,0.0,0.0,4.0,0.0,"['JSON', 'SortField', 'assertEquals', 'parseObject', 'toJSONString']","['wait', 'async', 'Thread', 'sleep', 'queue']","['HTable', 'ZooKeeper', 'EnvironmentEdgeManager', 'setData', 'flush']","['Node', 'addkid', 'id', 'Graph', 'DominatorTree', 'contains']","['Configuration', 'WritableName', 'setName', 'getClass', 'assertTrue']"
0.0,0.0,0.0,6.0,0.0,"['final', 'Object', 'bind', 'unbind', 'lookup']","['bindList', 'checkListResults', 'JndiPermission', 'testActionPermission', 'NamingEnumeration']","['ContentPack', 'URL', 'path', 'JSON', 'readValue']","['producer', 'consumer', 'sendAsync', 'messageId', 'assert']","['enableProtocol', 'MockDuplexResponseBody', 'enqueueResponseWithBody', 'MockResponse', 'BufferedSource', 'BufferedSink', 'IOException', 'fail', 'awaitSuccess']"
6.0,0.0,6.0,4.0,0.0,"['await', 'fireEvent', 'EventContext', 'CompositeName', 'NamingEvent']","['lockedNode', 'lockMgr', 'lock', 'wait', 'lock.getSecondsRemaining']","['Thread', 'interrupt', 'cache', 'payload', 'AtomicReference']","['try', 'catch', 'fail', 'expected', 'NameNotFoundException']","['Timeout', 'mode', 'durationChecker', 'verify', 'error']"
0.0,0.0,0.0,0.0,6.0,"['try', 'flush', 'submitBackground', 'disableAutoCompaction', 'enableAutoCompaction']","['Date', 'JSON', 'parseObject', 'getTime', 'assertNotNull']","['Future', 'cancel', 'awaitTermination', 'shutdownNow', 'interrupt']","['FileSystem', 'BlockMaster', 'stopMasters', 'startMasters', 'getBlockInfo']","['Thread', 'CountDownLatch', 'readOnly', 'priorityReadOnly', 'cancelIndicator']"
0.0,3.0,0.0,0.0,0.0,"['Async', 'wait', 'Thread', 'sleep', 'response']","['foo', 'bar', 'baz', 'qux', 'additionalProperties']","['notifier', 'waitForJavascript', '1000', '10', 'assertTrue']","['MiniHBaseCluster', 'Thread', 'sleep', '2000', 'isOnline']","['createTlds', 'assertCommandAndResponse', 'ImmutableMap', 'DateTime', 'parse']"
0.0,0.0,0.0,0.0,4.0,"['InitialContext', 'lookup', 'Assert', 'fail', 'catch']","['final', 'bind', 'rebind', 'lookup', 'assertEquals']","['when', 'thenReturn', 'isOpen', 'close', 'sleep']","['createTable', 'ColumnFamilyStore', 'forceBlockingFlush', 'getLiveSSTables', 'getSSTableMetadata']","['Dao', 'create', 'queryBuilder', 'countOf', 'queryRaw']"
6.0,4.0,0.0,0.0,0.0,"['<token1>', '<token2>', '<token3>', '<token4>', '<token5>']","['startProgram', 'waitState', 'getProgramRuns', 'createInputForRecordVerification']","['monitor', 'setScanInterval', 'getEntries', 'Thread', 'sleep']","['kafkaStream', 'ConsumerIterator', 'ConsumerConnector', 'shutdown', 'threadWasInterrupted']","['List', 'BigDecimal', 'Map', 'add', 'read']"
4.0,0.0,0.0,6.0,0.0,"['createTable', 'forceBlockingFlush', 'execute', 'getLiveSSTables', 'forceMajorCompaction']","['Thread', 'sleep', '10', 'Queue', 'Executor']","['resetFileSystem', 'Configuration', 'uri', 'HftpFileSystem', 'fs']","['await', 'async', 'Thread', 'sleep', 'synchronized']","['await', 'invalidated', 'changed', 'insert', 'close']"
6.0,6.0,4.0,0.0,6.0,"['<token1>', '<token2>', '<token3>', '<token4>', '<token5>']","['pool', 'executor', 'release', 'awaitTermination', 'shutdown']","['HRegionInfo', 'Path', 'StoreFile', 'HFileLink', 'HFileScanner']","['setCallback', 'null', 'reset', 'onPlayCalledCount', 'Handler']","['startGreeter', 'stopGreeter', 'greetMeAsync', 'verifyMissingResponse', 'verifyServerRecovery']"
0.0,6.0,4.0,0.0,4.0,"['Thread', 'sleep', '1000', ';', 'wait']","['token1', 'token2', 'token3', 'token4', 'token5']","['iterations', 'firstTestCases', 'secondTestCases', 'subList', 'assertEquals']","['start', 'stop', 'waitFor', 'filter', 'count']","['Instant', 'now', 'logDataList', 'getFinishedLogItems', 'assertThat', 'hasSize']"
6.0,0.0,0.0,6.0,0.0,"['token1', 'token2', 'token3', 'token4', 'token5']","['CountDownLatch', 'ActionListener', 'TransportService', 'TransportResponseHandler', 'AtomicInteger']","['LocalDateTime', 'now', 'minusDays', 'format', 'assertTrue']","['index', 'message', 'JMSSException', 'assertEquals', 'ActiveMQMessage']","['OpenAPI', 'AbstractJavaCodegen', 'additionalProperties', 'processOpts', 'preprocessOpenAPI']"
0.0,0.0,6.0,0.0,0.0,"['Thread', 'sleep', 'metricsHelper', 'assertGauge', 'IOException']","['Get', 'clearRegionCache', 'prefetch', 'cached', 'Connection']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Timeout', 'waitUntilReady', 'sleepUninterruptibly', 'startupTimeout', 'strategy1']","['BundleContext', 'Map', 'Feature', 'ClassLoader', 'fail']"
0.0,0.0,0.0,0.0,4.0,"['KernelServices', 'createKernelServicesBuilder', 'executeOperation', 'isSuccessfulBoot', 'executeForFailure']","['runOnUiThread', 'waitForItemAnimation', 'addItems', 'getSelectedPosition', 'getScrollState']","['Thread', 'sleep', 'verify', 'times', '0']","['test', 'telnet', 'result', 'RemotingException', 'assertEquals']","['mockResponse', 'mode', 'requestParams', 'sessionMap', 'initParams']"
4.0,6.0,0.0,1.0,0.0,"['assertNoTestClassesInDeploymentAssembly', 'waitForProjects', 'getComponent', 'getResources', 'containsSegment']","['broadcast', 'register', 'send', 'await', 'shadowOf']","['Queue', 'HttpResponse', 'ProxyClient', 'HttpVersion', 'contains']","['deploy', 'start', 'HTTP', 'status', 'metrics']","['NUM_RETRIES', 'Observable', 'retry', 'observeOn', 'unsafeSubscribe']"
